original,tampered,region_hd,region_mr,region_verdict,global_phash_diff,md5_changed,sha256_changed,tamper_type,grid,threshold,is_actual_tampered,is_predicted_tampered,baseline_pred
00000001_000.png,crop_00000001_000.png,282,1.0,Tampered,20,True,True,crop,3×3,2.0,True,True,True
00000001_001.png,crop_00000001_001.png,268,1.0,Tampered,30,True,True,crop,3×3,2.0,True,True,True
00000001_002.png,crop_00000001_002.png,262,1.0,Tampered,20,True,True,crop,3×3,2.0,True,True,True
00000002_000.png,crop_00000002_000.png,276,1.0,Tampered,30,True,True,crop,3×3,2.0,True,True,True
00000003_000.png,crop_00000003_000.png,280,1.0,Tampered,26,True,True,crop,3×3,2.0,True,True,True
00000003_001.png,crop_00000003_001.png,268,1.0,Tampered,16,True,True,crop,3×3,2.0,True,True,True
00000003_002.png,crop_00000003_002.png,232,1.0,Tampered,16,True,True,crop,3×3,2.0,True,True,True
00000003_003.png,crop_00000003_003.png,256,1.0,Tampered,22,True,True,crop,3×3,2.0,True,True,True
00000003_004.png,crop_00000003_004.png,282,1.0,Tampered,24,True,True,crop,3×3,2.0,True,True,True
00000003_005.png,crop_00000003_005.png,220,1.0,Tampered,22,True,True,crop,3×3,2.0,True,True,True
00000003_006.png,crop_00000003_006.png,270,1.0,Tampered,26,True,True,crop,3×3,2.0,True,True,True
00000003_007.png,crop_00000003_007.png,262,1.0,Tampered,16,True,True,crop,3×3,2.0,True,True,True
00000004_000.png,crop_00000004_000.png,268,1.0,Tampered,28,True,True,crop,3×3,2.0,True,True,True
00000005_000.png,crop_00000005_000.png,244,1.0,Tampered,20,True,True,crop,3×3,2.0,True,True,True
00000005_001.png,crop_00000005_001.png,298,1.0,Tampered,32,True,True,crop,3×3,2.0,True,True,True
00000005_002.png,crop_00000005_002.png,276,1.0,Tampered,18,True,True,crop,3×3,2.0,True,True,True
00000005_003.png,crop_00000005_003.png,222,1.0,Tampered,20,True,True,crop,3×3,2.0,True,True,True
00000005_004.png,crop_00000005_004.png,284,1.0,Tampered,30,True,True,crop,3×3,2.0,True,True,True
00000005_005.png,crop_00000005_005.png,260,1.0,Tampered,20,True,True,crop,3×3,2.0,True,True,True
00000005_006.png,crop_00000005_006.png,260,1.0,Tampered,26,True,True,crop,3×3,2.0,True,True,True
00000005_007.png,crop_00000005_007.png,254,1.0,Tampered,20,True,True,crop,3×3,2.0,True,True,True
00000006_000.png,crop_00000006_000.png,240,1.0,Tampered,22,True,True,crop,3×3,2.0,True,True,True
00000007_000.png,crop_00000007_000.png,256,1.0,Tampered,28,True,True,crop,3×3,2.0,True,True,True
00000008_000.png,crop_00000008_000.png,286,1.0,Tampered,30,True,True,crop,3×3,2.0,True,True,True
00000008_001.png,crop_00000008_001.png,280,1.0,Tampered,26,True,True,crop,3×3,2.0,True,True,True
00000008_002.png,crop_00000008_002.png,296,1.0,Tampered,28,True,True,crop,3×3,2.0,True,True,True
00000009_000.png,crop_00000009_000.png,256,1.0,Tampered,26,True,True,crop,3×3,2.0,True,True,True
00000010_000.png,crop_00000010_000.png,244,1.0,Tampered,16,True,True,crop,3×3,2.0,True,True,True
00000011_000.png,crop_00000011_000.png,266,1.0,Tampered,28,True,True,crop,3×3,2.0,True,True,True
00000011_001.png,crop_00000011_001.png,234,1.0,Tampered,14,True,True,crop,3×3,2.0,True,True,True
00000011_002.png,crop_00000011_002.png,270,1.0,Tampered,16,True,True,crop,3×3,2.0,True,True,True
00000011_003.png,crop_00000011_003.png,252,1.0,Tampered,22,True,True,crop,3×3,2.0,True,True,True
00000011_004.png,crop_00000011_004.png,266,1.0,Tampered,24,True,True,crop,3×3,2.0,True,True,True
00000011_005.png,crop_00000011_005.png,222,1.0,Tampered,16,True,True,crop,3×3,2.0,True,True,True
00000011_006.png,crop_00000011_006.png,230,1.0,Tampered,22,True,True,crop,3×3,2.0,True,True,True
00000011_007.png,crop_00000011_007.png,270,1.0,Tampered,26,True,True,crop,3×3,2.0,True,True,True
00000011_008.png,crop_00000011_008.png,286,1.0,Tampered,30,True,True,crop,3×3,2.0,True,True,True
00000012_000.png,crop_00000012_000.png,222,1.0,Tampered,10,True,True,crop,3×3,2.0,True,True,True
