original,tampered,region_hd,region_mr,region_verdict,global_phash_diff,md5_changed,sha256_changed,tamper_type,grid,threshold,is_actual_tampered,is_predicted_tampered,baseline_pred
00000001_000.png,crop_00000001_000.png,446,1.0,Tampered,20,True,True,crop,4×4,3.0,True,True,True
00000001_001.png,crop_00000001_001.png,504,1.0,Tampered,30,True,True,crop,4×4,3.0,True,True,True
00000001_002.png,crop_00000001_002.png,510,1.0,Tampered,20,True,True,crop,4×4,3.0,True,True,True
00000002_000.png,crop_00000002_000.png,464,1.0,Tampered,30,True,True,crop,4×4,3.0,True,True,True
00000003_000.png,crop_00000003_000.png,514,1.0,Tampered,26,True,True,crop,4×4,3.0,True,True,True
00000003_001.png,crop_00000003_001.png,454,1.0,Tampered,16,True,True,crop,4×4,3.0,True,True,True
00000003_002.png,crop_00000003_002.png,438,1.0,Tampered,16,True,True,crop,4×4,3.0,True,True,True
00000003_003.png,crop_00000003_003.png,458,1.0,Tampered,22,True,True,crop,4×4,3.0,True,True,True
00000003_004.png,crop_00000003_004.png,496,1.0,Tampered,24,True,True,crop,4×4,3.0,True,True,True
00000003_005.png,crop_00000003_005.png,424,1.0,Tampered,22,True,True,crop,4×4,3.0,True,True,True
00000003_006.png,crop_00000003_006.png,488,1.0,Tampered,26,True,True,crop,4×4,3.0,True,True,True
00000003_007.png,crop_00000003_007.png,508,1.0,Tampered,16,True,True,crop,4×4,3.0,True,True,True
00000004_000.png,crop_00000004_000.png,484,1.0,Tampered,28,True,True,crop,4×4,3.0,True,True,True
00000005_000.png,crop_00000005_000.png,448,1.0,Tampered,20,True,True,crop,4×4,3.0,True,True,True
00000005_001.png,crop_00000005_001.png,472,1.0,Tampered,32,True,True,crop,4×4,3.0,True,True,True
00000005_002.png,crop_00000005_002.png,496,1.0,Tampered,18,True,True,crop,4×4,3.0,True,True,True
00000005_003.png,crop_00000005_003.png,424,1.0,Tampered,20,True,True,crop,4×4,3.0,True,True,True
00000005_004.png,crop_00000005_004.png,480,1.0,Tampered,30,True,True,crop,4×4,3.0,True,True,True
00000005_005.png,crop_00000005_005.png,470,1.0,Tampered,20,True,True,crop,4×4,3.0,True,True,True
00000005_006.png,crop_00000005_006.png,474,1.0,Tampered,26,True,True,crop,4×4,3.0,True,True,True
00000005_007.png,crop_00000005_007.png,468,1.0,Tampered,20,True,True,crop,4×4,3.0,True,True,True
00000006_000.png,crop_00000006_000.png,456,1.0,Tampered,22,True,True,crop,4×4,3.0,True,True,True
00000007_000.png,crop_00000007_000.png,498,1.0,Tampered,28,True,True,crop,4×4,3.0,True,True,True
00000008_000.png,crop_00000008_000.png,498,1.0,Tampered,30,True,True,crop,4×4,3.0,True,True,True
00000008_001.png,crop_00000008_001.png,520,1.0,Tampered,26,True,True,crop,4×4,3.0,True,True,True
00000008_002.png,crop_00000008_002.png,488,1.0,Tampered,28,True,True,crop,4×4,3.0,True,True,True
00000009_000.png,crop_00000009_000.png,456,1.0,Tampered,26,True,True,crop,4×4,3.0,True,True,True
00000010_000.png,crop_00000010_000.png,470,1.0,Tampered,16,True,True,crop,4×4,3.0,True,True,True
00000011_000.png,crop_00000011_000.png,474,1.0,Tampered,28,True,True,crop,4×4,3.0,True,True,True
00000011_001.png,crop_00000011_001.png,450,1.0,Tampered,14,True,True,crop,4×4,3.0,True,True,True
00000011_002.png,crop_00000011_002.png,454,1.0,Tampered,16,True,True,crop,4×4,3.0,True,True,True
00000011_003.png,crop_00000011_003.png,480,1.0,Tampered,22,True,True,crop,4×4,3.0,True,True,True
00000011_004.png,crop_00000011_004.png,444,1.0,Tampered,24,True,True,crop,4×4,3.0,True,True,True
00000011_005.png,crop_00000011_005.png,412,1.0,Tampered,16,True,True,crop,4×4,3.0,True,True,True
00000011_006.png,crop_00000011_006.png,428,1.0,Tampered,22,True,True,crop,4×4,3.0,True,True,True
00000011_007.png,crop_00000011_007.png,498,1.0,Tampered,26,True,True,crop,4×4,3.0,True,True,True
00000011_008.png,crop_00000011_008.png,480,1.0,Tampered,30,True,True,crop,4×4,3.0,True,True,True
